&0&1&2&3&4&5&6&7&8&9&10
255&10/24/18 02:08:45&SMTP-IN&03ABCA46DC7444598933427363CD481D.MAI&736&89.163.225.217&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 02:08:45&0&0&
256&10/24/18 02:08:45&SMTP-IN&03ABCA46DC7444598933427363CD481D.MAI&736&89.163.225.217&EHLO&EHLO mail.bolinse.eu&250-cirkul-m.ru [89.163.225.217], this server offers 4 extensions&129&22&
257&10/24/18 02:08:45&SMTP-IN&03ABCA46DC7444598933427363CD481D.MAI&736&89.163.225.217&MAIL&MAIL FROM:<yqsyycw@bolinse.eu>&250 Requested mail action okay, completed&43&32&
258&10/24/18 02:08:46&SMTP-IN&03ABCA46DC7444598933427363CD481D.MAI&736&89.163.225.217&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
259&10/24/18 02:08:46&SMTP-IN&03ABCA46DC7444598933427363CD481D.MAI&736&89.163.225.217&DATA&DATA&354 Start mail input; end with <CRLF>.<CRLF>&46&6&
260&10/24/18 02:08:46&SMTP-IN&F2E344E4270B44E9BD5512D91A744A82.MAI&736&89.163.225.217&QUIT&QUIT&221 Service closing transmission channel&42&6&
532&10/24/18 04:04:03&SMTP-IN&468A0CC0275349A38A150F0B35332A29.MAI&732&89.108.126.99&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 10/24/18 04:04:03&0&0&
533&10/24/18 04:04:03&SMTP-IN&468A0CC0275349A38A150F0B35332A29.MAI&732&89.108.126.99&EHLO&EHLO mail06.livemaster.ru&250-cirkul-m.ru [89.108.126.99], this server offers 4 extensions&128&27&
534&10/24/18 04:04:03&SMTP-IN&468A0CC0275349A38A150F0B35332A29.MAI&732&89.108.126.99&MAIL&MAIL FROM:<noreply@livemaster.ru> SIZE=29193&250 Requested mail action okay, completed&43&46&
535&10/24/18 04:04:03&SMTP-IN&468A0CC0275349A38A150F0B35332A29.MAI&732&89.108.126.99&RCPT&RCPT TO:<oaa@cirkul-m.ru>&250 Requested mail action okay, completed&43&27&
