,4,0
0,102.165.50.149,3825
1,103.101.16.90,36
2,103.207.37.40,726
3,114.118.91.4,1780
4,114.118.93.136,1720
5,12.172.181.50,386
6,123.200.137.226,160
7,127.0.0.1,52
8,133.208.151.107,450
9,14.143.251.126,24
10,142.11.199.143,1400
11,144.64.87.175,138
12,145.253.245.130,366
13,154.73.182.16,54
14,154.73.182.24,557
15,162.247.99.113,96
16,168.187.168.118,64
17,169.239.106.18,91
18,176.79.95.139,24
19,177.103.211.5,21
20,177.143.199.94,108
21,177.37.166.119,126
22,177.8.169.156,198
23,179.228.162.193,24
24,179.232.179.143,95
25,179.252.114.254,270
26,180.150.253.38,54
27,181.210.130.82,78
28,181.39.57.201,180
29,181.51.212.3,103
30,184.71.152.86,108
31,185.143.88.2,63
32,185.234.217.94,6745
33,185.234.219.25,1055
34,185.234.219.30,6100
35,185.24.233.25,858
36,185.81.157.113,129
37,185.89.15.253,41
38,186.0.90.52,312
39,186.208.221.218,125
40,186.251.225.186,283
41,186.67.78.38,54
42,187.185.190.199,127
43,187.44.106.11,282
44,187.55.179.130,21
45,187.66.33.120,54
46,187.67.179.181,144
47,188.165.124.31,132
48,188.72.4.230,24
49,189.112.185.186,168
50,189.126.22.62,24
51,189.208.163.224,181
52,189.50.15.58,271
53,190.109.222.50,24
54,190.111.24.194,48
55,190.128.227.82,24
56,190.13.141.234,48
57,190.148.116.165,144
58,190.15.196.171,259
59,190.171.144.66,61
60,190.213.10.158,242
61,190.247.33.105,161
62,190.52.34.28,177
63,190.64.146.226,30
64,190.85.234.7,289
65,191.255.248.223,24
66,191.96.249.14,58632
67,191.96.249.24,92381
68,191.96.249.26,90996
69,191.96.249.49,1076
70,191.96.249.61,92836
71,193.169.252.113,250
72,193.169.252.163,2880
73,193.169.252.165,620
74,193.169.252.53,580
75,193.169.252.54,4385
76,194.53.142.153,93536
77,194.53.142.2,411341
78,194.53.142.231,86722
79,194.53.142.42,87822
80,194.53.142.55,121550
81,194.53.142.88,119017
82,194.53.142.89,116058
83,196.43.234.193,48
84,2.82.249.86,102
85,200.111.104.123,570
86,200.124.243.60,30
87,200.196.251.102,30
88,200.29.108.214,215
89,200.30.83.105,353
90,200.42.178.170,78
91,200.60.62.82,264
92,200.68.86.101,24
93,200.87.62.142,25
94,201.182.173.26,24
95,201.20.96.82,127
96,201.236.155.139,30
97,201.238.215.168,275
98,202.160.39.142,24
99,203.208.204.142,470
100,204.152.209.101,363
101,207.91.191.27,72
102,211.193.148.63,59
103,213.154.29.27,130
104,213.79.118.83,48
105,220.130.140.22,30
106,220.134.195.68,319
107,223.255.139.18,240
108,23.254.247.147,1458
109,24.51.95.89,417
110,37.143.9.94,30
111,37.49.224.200,2292
112,37.49.225.223,364
113,37.49.225.45,688
114,37.49.227.15,280
115,41.139.253.2,24
116,41.160.119.66,415
117,41.220.193.70,54
118,41.226.251.48,66
119,42.200.201.226,355
120,45.4.33.216,72
121,5.188.62.230,3853
122,52.144.67.210,438
123,61.91.167.182,49
124,62.56.250.249,30
125,65.39.92.157,219
126,74.208.217.149,78
127,75.159.185.142,21
128,76.224.88.197,234
129,77.206.9.104,177
130,78.18.61.232,24
131,80.82.70.189,10080
132,81.133.240.126,48
133,81.137.254.87,24
134,81.139.39.82,102
135,81.45.175.104,288
136,82.127.128.117,54
137,82.201.68.246,60
138,84.241.29.52,30
139,85.48.229.2,106
140,88.249.20.212,48
141,89.248.162.159,658
142,89.96.151.178,21
143,93.174.93.24,478
144,95.66.233.18,25
145,96.78.113.20,108
146,99.228.192.3,66
